trade_id,symbol,entry_date,exit_date,position_type,entry_price,exit_price,quantity,pnl,pnl_percent,strategy,trade_duration_days,market_condition
TRD001,AAPL,2023-06-15,2023-06-22,LONG,185.45,192.75,50,365.00,3.94,Trend Following,7,Bullish
TRD002,MSFT,2023-06-18,2023-06-28,LONG,342.25,348.85,35,230.65,1.93,Mean Reversion,10,Bullish
TRD003,AMZN,2023-06-20,2023-06-30,LONG,132.45,138.65,60,372.00,4.68,Swing Trade,10,Bullish
TRD004,NVDA,2023-06-21,2023-07-05,LONG,870.25,920.45,25,1255.00,5.77,Momentum,14,Bullish
TRD005,META,2023-06-22,2023-07-08,LONG,432.15,448.35,40,648.00,3.75,Swing Trade,16,Bullish
TRD006,TSLA,2023-06-25,2023-07-09,SHORT,258.45,245.75,45,570.75,4.91,Counter Trend,14,Bearish
TRD007,GOOGL,2023-06-28,2023-07-12,LONG,175.25,182.45,55,396.00,4.11,Trend Following,14,Bullish
TRD008,JPM,2023-07-01,2023-07-15,LONG,145.85,152.35,60,390.00,4.46,Swing Trade,14,Bullish
TRD009,XOM,2023-07-03,2023-07-18,SHORT,108.45,105.25,80,256.00,2.95,Mean Reversion,15,Bearish
TRD010,PFE,2023-07-05,2023-07-20,LONG,28.45,30.75,200,460.00,8.08,Value Trade,15,Bullish
TRD011,UNH,2023-07-08,2023-07-22,LONG,485.25,495.45,20,204.00,2.10,Swing Trade,14,Bullish
TRD012,JNJ,2023-07-10,2023-07-24,SHORT,165.45,158.25,35,252.00,4.35,Counter Trend,14,Bearish
TRD013,WMT,2023-07-12,2023-07-25,LONG,155.25,161.45,50,310.00,3.99,Value Trade,13,Bullish
TRD014,DIS,2023-07-15,2023-07-26,LONG,88.45,93.25,75,360.00,5.43,Mean Reversion,11,Bullish
TRD015,NFLX,2023-07-18,2023-07-28,SHORT,485.25,468.75,25,412.50,3.40,Counter Trend,10,Bearish
TRD016,KO,2023-07-20,2023-07-29,LONG,62.45,64.85,100,240.00,3.84,Dividend Play,9,Bullish
TRD017,INTC,2023-07-22,2023-07-30,LONG,34.25,36.45,150,330.00,6.42,Value Trade,8,Bullish
TRD018,V,2023-07-24,2023-07-31,LONG,238.75,245.35,40,264.00,2.76,Momentum,7,Bullish
TRD019,IBM,2023-07-25,2023-08-01,LONG,142.45,147.25,45,216.00,3.37,Dividend Play,7,Bullish
TRD020,HD,2023-07-26,2023-08-02,SHORT,345.85,332.45,30,402.00,3.87,Counter Trend,7,Bearish 